True_Class,Pred_Class,True_Risk_pips,Pred_Risk_pips
0,1,0.15325864,0.13483298
0,1,0.15261519,0.13636239
0,1,0.1683396,0.12488625
0,1,0.16837873,0.12621547
0,1,0.21172066,0.12047452
0,1,0.21166746,0.12771292
0,1,0.18468729,0.12681787
0,0,0.14454591,0.18576321
0,1,0.14143649,0.17350243
0,1,0.12825269,0.17003135
1,1,0.1282551,0.17349717
1,1,0.12824543,0.1811525
2,1,0.17671178,0.16899687
2,0,0.18044414,0.20263754
2,0,0.19998994,0.20267978
2,0,0.19997737,0.20718598
2,1,0.19822666,0.18656954
2,1,0.21011047,0.19509086
2,1,0.2095183,0.18543474
2,2,0.20951697,0.19307774
2,2,0.1780322,0.18893145
2,2,0.17488566,0.18855652
2,2,0.14400975,0.20000194
1,2,0.1295125,0.18472609
0,1,0.1294474,0.184654
1,1,0.12942137,0.15275222
0,1,0.12940836,0.16156252
1,1,0.12943032,0.16080049
1,1,0.13630225,0.18058671
2,1,0.14762883,0.17159267
1,1,0.14765295,0.16048391
2,1,0.14773463,0.16850175
1,1,0.14203206,0.19157399
2,1,0.14205974,0.1883093
1,0,0.1420276,0.20411053
1,1,0.14204545,0.19253439
2,1,0.14209993,0.16933063
0,1,0.13949631,0.17549133
1,2,0.15652403,0.17197052
0,1,0.16021311,0.18101938
0,1,0.18776217,0.19884264
0,1,0.17960425,0.19986093
0,1,0.20605475,0.18494923
0,1,0.21863416,0.21208292
0,1,0.218707,0.20762987
0,0,0.21729028,0.22613356
0,1,0.1571003,0.2221933
1,1,0.1477402,0.20695102
0,1,0.1476975,0.20748657
0,0,0.14773835,0.21968809
0,0,0.14770862,0.22300747
1,1,0.11759084,0.20301047
1,1,0.117622636,0.195146
0,1,0.11761376,0.1961103
1,1,0.1176478,0.18161526
2,2,0.1126282,0.16434647
2,2,0.12645248,0.16432673
2,1,0.12640238,0.165865
1,1,0.12826316,0.1773185
1,1,0.12827365,0.17775731
1,1,0.12826881,0.17743143
2,1,0.12834871,0.15956335
1,1,0.1245518,0.16269845
0,1,0.124502465,0.1866433
1,1,0.12452987,0.18838444
2,1,0.10758641,0.17418267
1,1,0.106295325,0.18253884
0,1,0.10625723,0.1667444
1,1,0.10625122,0.16648854
0,1,0.106231846,0.16974637
1,1,0.10374292,0.15963247
1,1,0.103733785,0.1594239
0,1,0.10373314,0.15302221
0,1,0.103724,0.17189187
1,1,0.09813049,0.14684515
0,1,0.15539478,0.14686628
0,1,0.15533419,0.16380814
0,1,0.18050769,0.1632604
0,1,0.2106746,0.16461948
0,1,0.21573141,0.13989475
0,1,0.21694566,0.14472729
0,1,0.21694429,0.14550923
0,1,0.19617952,0.14733417
0,1,0.20438324,0.13711679
0,1,0.23961812,0.12960064
0,0,0.22962329,0.20742011
0,0,0.25541016,0.21334521
0,1,0.23162572,0.1845974
0,0,0.23411539,0.20049272
0,1,0.192694,0.17210875
0,1,0.19269885,0.1685968
0,0,0.19273648,0.20605457
0,0,0.19272313,0.21489365
0,0,0.19270734,0.21921837
0,0,0.15243326,0.22292155
1,0,0.10775523,0.1934152
0,1,0.09581986,0.16292529
